,price
01/01/2011 00:00,58.4
01/01/2011 01:00,56.18
01/01/2011 02:00,53.02
01/01/2011 03:00,43.81
01/01/2011 04:00,24.62
01/01/2011 05:00,15.59
01/01/2011 06:00,10.52
01/01/2011 07:00,10.28
01/01/2011 08:00,12.28
01/01/2011 09:00,14.38
01/01/2011 10:00,15.4
01/01/2011 11:00,22.32
01/01/2011 12:00,42.03
01/01/2011 13:00,38.24
01/01/2011 14:00,30.46
01/01/2011 15:00,20.05
01/01/2011 16:00,30.38
01/01/2011 17:00,45.94
01/01/2011 18:00,49.94
01/01/2011 19:00,52.08
01/01/2011 20:00,52.43
01/01/2011 21:00,49.25
01/01/2011 22:00,53
01/01/2011 23:00,49.66
02/01/2011 00:00,53.03
02/01/2011 01:00,49.71
02/01/2011 02:00,41.68
02/01/2011 03:00,21.9
02/01/2011 04:00,18.47
02/01/2011 05:00,22.71
02/01/2011 06:00,16.27
02/01/2011 07:00,23.56
02/01/2011 08:00,30
02/01/2011 09:00,44.69
02/01/2011 10:00,50.39
02/01/2011 11:00,55.11
02/01/2011 12:00,59.62
02/01/2011 13:00,52.56
02/01/2011 14:00,48.62
02/01/2011 15:00,47.5
02/01/2011 16:00,47.27
02/01/2011 17:00,55.05
02/01/2011 18:00,68.69
02/01/2011 19:00,69.99
02/01/2011 20:00,66.44
02/01/2011 21:00,55.85
02/01/2011 22:00,59.27
02/01/2011 23:00,57.02
03/01/2011 00:00,43.38
03/01/2011 01:00,43.38
03/01/2011 02:00,42.83
03/01/2011 03:00,34.69
03/01/2011 04:00,31.44
03/01/2011 05:00,43.05
03/01/2011 06:00,52.7
03/01/2011 07:00,69.76
03/01/2011 08:00,68.95
03/01/2011 09:00,69.73
03/01/2011 10:00,70.02
03/01/2011 11:00,71.11
03/01/2011 12:00,71.44
03/01/2011 13:00,72.63
03/01/2011 14:00,68.17
03/01/2011 15:00,67.24
03/01/2011 16:00,69
03/01/2011 17:00,74.33
03/01/2011 18:00,77.51
03/01/2011 19:00,73.48
03/01/2011 20:00,70
03/01/2011 21:00,59.88
03/01/2011 22:00,67.35
03/01/2011 23:00,63.2
04/01/2011 00:00,48.54
04/01/2011 01:00,48.03
04/01/2011 02:00,45.81
04/01/2011 03:00,41.93
04/01/2011 04:00,39.01
04/01/2011 05:00,45.93
04/01/2011 06:00,56.75
04/01/2011 07:00,70.93
04/01/2011 08:00,70.64
04/01/2011 09:00,69.82
04/01/2011 10:00,69.99
04/01/2011 11:00,72.08
04/01/2011 12:00,69.46
04/01/2011 13:00,65.14
04/01/2011 14:00,64.28
04/01/2011 15:00,61.73
04/01/2011 16:00,65.05
04/01/2011 17:00,73.63
04/01/2011 18:00,78
04/01/2011 19:00,70.03
04/01/2011 20:00,67.08
04/01/2011 21:00,56.98
04/01/2011 22:00,61.32
04/01/2011 23:00,57.33
05/01/2011 00:00,48.32
05/01/2011 01:00,47.89
05/01/2011 02:00,43.33
05/01/2011 03:00,39.52
05/01/2011 04:00,39.96
05/01/2011 05:00,44.74
05/01/2011 06:00,54.24
05/01/2011 07:00,61.19
05/01/2011 08:00,63.51
05/01/2011 09:00,63.14
05/01/2011 10:00,67.48
05/01/2011 11:00,66.96
05/01/2011 12:00,66.46
05/01/2011 13:00,65.83
05/01/2011 14:00,64.74
05/01/2011 15:00,60
05/01/2011 16:00,64.59
05/01/2011 17:00,69.77
05/01/2011 18:00,73.5
05/01/2011 19:00,68.45
05/01/2011 20:00,63.19
05/01/2011 21:00,52.68
05/01/2011 22:00,57.39
05/01/2011 23:00,55.19
06/01/2011 00:00,53.28
06/01/2011 01:00,52.68
06/01/2011 02:00,49.1
06/01/2011 03:00,35.95
06/01/2011 04:00,30
06/01/2011 05:00,45.03
06/01/2011 06:00,53.96
06/01/2011 07:00,66.25
06/01/2011 08:00,68.49
06/01/2011 09:00,69.5
06/01/2011 10:00,67.99
06/01/2011 11:00,68.08
06/01/2011 12:00,67.19
06/01/2011 13:00,63.32
06/01/2011 14:00,60.5
06/01/2011 15:00,54.93
06/01/2011 16:00,58.23
06/01/2011 17:00,66.99
06/01/2011 18:00,69.48
06/01/2011 19:00,66.69
06/01/2011 20:00,59.73
06/01/2011 21:00,53.07
06/01/2011 22:00,54.25
06/01/2011 23:00,49.49
07/01/2011 00:00,44.58
07/01/2011 01:00,42.92
07/01/2011 02:00,30.51
07/01/2011 03:00,21.5
07/01/2011 04:00,23.19
07/01/2011 05:00,40.05
07/01/2011 06:00,49.03
07/01/2011 07:00,64.48
07/01/2011 08:00,63.77
07/01/2011 09:00,63.75
07/01/2011 10:00,64.41
07/01/2011 11:00,64.97
07/01/2011 12:00,64.07
07/01/2011 13:00,62.88
07/01/2011 14:00,57.19
07/01/2011 15:00,53.46
07/01/2011 16:00,52.44
07/01/2011 17:00,61.98
07/01/2011 18:00,61.86
07/01/2011 19:00,56.13
07/01/2011 20:00,51.14
07/01/2011 21:00,49.93
07/01/2011 22:00,52.48
07/01/2011 23:00,48.69
08/01/2011 00:00,27
08/01/2011 01:00,24.82
08/01/2011 02:00,20.1
08/01/2011 03:00,13.94
08/01/2011 04:00,10.15
08/01/2011 05:00,10.8
08/01/2011 06:00,14.69
08/01/2011 07:00,19.04
08/01/2011 08:00,22.64
08/01/2011 09:00,25.71
08/01/2011 10:00,26.16
08/01/2011 11:00,27.99
08/01/2011 12:00,42.9
08/01/2011 13:00,36.38
08/01/2011 14:00,31.49
08/01/2011 15:00,24.21
08/01/2011 16:00,23.83
08/01/2011 17:00,53.02
08/01/2011 18:00,55.45
08/01/2011 19:00,52.94
08/01/2011 20:00,48.14
08/01/2011 21:00,41.02
08/01/2011 22:00,46.97
08/01/2011 23:00,45.81
09/01/2011 00:00,32.54
09/01/2011 01:00,21.55
09/01/2011 02:00,15.71
