Date,Time,Euro
13/05/2026,23:00,124.87
13/05/2026,22:00,133.68
13/05/2026,21:00,151.71
13/05/2026,20:00,150.0
13/05/2026,19:00,116.37
13/05/2026,18:00,99.04
13/05/2026,17:00,69.16
13/05/2026,16:00,58.94
13/05/2026,15:00,53.71
13/05/2026,14:00,49.79
13/05/2026,13:00,64.88
13/05/2026,12:00,71.3
13/05/2026,11:00,69.46
13/05/2026,10:00,76.41
13/05/2026,9:00,109.27
13/05/2026,8:00,134.74
13/05/2026,7:00,131.17
13/05/2026,6:00,107.41
13/05/2026,5:00,105.31
13/05/2026,4:00,94.71
13/05/2026,3:00,90.0
13/05/2026,2:00,99.59
13/05/2026,1:00,104.68
13/05/2026,0:00,119.45
12/05/2026,23:00,125.37
12/05/2026,22:00,136.48
12/05/2026,21:00,147.11
12/05/2026,20:00,130.63
12/05/2026,19:00,108.6
12/05/2026,18:00,88.9
12/05/2026,17:00,57.72
12/05/2026,16:00,37.8
12/05/2026,15:00,30.47
12/05/2026,14:00,30.0
12/05/2026,13:00,31.89
12/05/2026,12:00,51.81
12/05/2026,11:00,66.78
12/05/2026,10:00,95.15
12/05/2026,9:00,108.53
12/05/2026,8:00,125.05
12/05/2026,7:00,125.77
12/05/2026,6:00,100.1
12/05/2026,5:00,85.74
12/05/2026,4:00,83.7
12/05/2026,3:00,89.79
12/05/2026,2:00,88.9
12/05/2026,1:00,98.93
12/05/2026,0:00,106.14
11/05/2026,23:00,120.02
11/05/2026,22:00,126.9
11/05/2026,21:00,135.19
11/05/2026,20:00,124.35
11/05/2026,19:00,108.83
11/05/2026,18:00,95.41
11/05/2026,17:00,93.0
11/05/2026,16:00,97.04
11/05/2026,15:00,74.06
11/05/2026,14:00,75.24
11/05/2026,13:00,78.23
11/05/2026,12:00,84.64
11/05/2026,11:00,100.01
11/05/2026,10:00,115.23
11/05/2026,9:00,152.43
11/05/2026,8:00,218.87
11/05/2026,7:00,164.3
11/05/2026,6:00,132.72
11/05/2026,5:00,104.68
11/05/2026,4:00,93.5
11/05/2026,3:00,97.03
11/05/2026,2:00,90.61
11/05/2026,1:00,100.17
11/05/2026,0:00,110.57
10/05/2026,23:00,111.17
10/05/2026,22:00,117.4
10/05/2026,21:00,118.41
10/05/2026,20:00,113.76
10/05/2026,19:00,93.56
10/05/2026,18:00,68.46
10/05/2026,17:00,7.4
10/05/2026,16:00,-0.06
10/05/2026,15:00,-0.82
10/05/2026,14:00,-0.48
10/05/2026,13:00,0.44
10/05/2026,12:00,0.23
10/05/2026,11:00,0.0
10/05/2026,10:00,0.07
10/05/2026,9:00,33.59
10/05/2026,8:00,90.0
10/05/2026,7:00,108.12
10/05/2026,6:00,113.77
10/05/2026,5:00,95.97
10/05/2026,4:00,93.93
10/05/2026,3:00,109.91
10/05/2026,2:00,109.25
10/05/2026,1:00,114.93
10/05/2026,0:00,121.63
